vehicle_id,license_plate,carrier,model_id,image,lore
84+83,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_48.jpg,
88+87,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_343.jpg,
98+97,,PZ,KN105K,http://www.kmpk.cba.pl/grafika/zdjecia/105nadk_42.jpg,
112+111,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_366.jpg,
116+115,,PZ,KN105N,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_338.jpg,
118+117,,PZ,KN105K,http://www.kmpk.cba.pl/grafika/zdjecia/105nadk_13.jpg,
126+125,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_353.jpg,
128+129,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_287.jpg,
134+135,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_376.jpg,
136+137,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/stop_22.jpg,
138+139,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_372.jpg,
140+141,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_354.jpg,
142+143,,PZ,KN105N,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_333.jpg,
144+145,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_385.jpg,
148+149,,PZ,KN105N,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_320.jpg,
150+151,,PZ,MTMA04,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_340.jpg,
152+153,,PZ,MTMA04,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_9.jpg,
156+157,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_386.jpg,
162+161,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_373.jpg,
166+165,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_45.jpg,
168+167,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_299.jpg,
172+171,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/stop_255.jpg,
174+173,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/stop_25.jpg,
180+179,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_347.jpg,
182+181,,PZ,MTMA07,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_333.jpg,
188+187,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_42.jpg,
190+189,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/stop_90.jpg,
192+191,,PZ,MTMA07,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_327.jpg,
198+197,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_288.jpg,
204+203,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_302.jpg,
206+205,,PZ,KN105N,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_112.jpg,
212+211,,PZ,KN105K,http://www.kmpk.cba.pl/grafika/zdjecia/105nadk_38.jpg,
218+215,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_38.jpg,
220+219,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_374.jpg,
224+223,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_47.jpg,
226+225,,PZ,MTMA07,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_337.jpg,
228+227,,PZ,MTMA07,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_328.jpg,
234+233,,PZ,MTMA07,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_338.jpg,
244+243,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/stop_223.jpg,
264+263,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_384.jpg,
272+273,,PZ,MTMA07,http://www.kmpk.cba.pl/grafika/zdjecia/moderus_352.jpg,
290+291,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/stop_27.jpg,
298+299,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_379.jpg,
310+311,,PZ,KN105N,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_349.jpg,
312+313,,PZ,KN105N,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/stop_98.jpg,
314+315,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_383.jpg,"These two carraiges were originally bought in 1989 as 105NT units. They were withdrawn from service in 1997 due to high failure rate and lack of spare parts. As a result of general reconstruction carried out in 2000 and 2010, they were converted to 105Na carriages."
324+325,,PZ,KN105N,http://www.kmpk.cba.pl/grafika/zdjecia/105na_387.jpg,
336+337,,PZ,MTMA07,http://www.kmpk.poznan.cba.pl/grafika/zdjecia/moderus_309.jpg,
399,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_228.jpg,"However, this one was purchased and modernised in 2021."
400,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_237.jpg,"However, this one was purchased and modernised in 2021."
401,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_221.jpg,
402,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_234.jpg,
403,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_214.jpg,
404,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_184.jpg,
405,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_209.jpg,
406,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_210.jpg,
407,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_179.jpg,
408,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_178.jpg,
409,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_217.jpg,
410,,PZ,CKT606,http://www.kmpk.cba.pl/grafika/zdjecia/tatra_208.jpg,
