vehicle_id,date_discovered
424,2024-11-19
140+141,2024-11-19
530,2024-11-19
541,2024-11-19
168+167,2024-11-19
166+165,2024-11-19
928,2024-11-19
930,2024-11-19
555,2024-11-19
604,2024-11-19
655,2024-11-19
607,2024-11-19
3015,2024-11-19
1663,2024-11-19
1668,2024-11-19
3022,2024-11-19
1617,2024-11-19
1631,2024-11-19
1919,2024-11-19
1874,2024-11-19
3012,2024-11-19
4202,2024-11-19
4049,2024-11-19
1613,2024-11-19
4051,2024-11-19
3019,2024-11-19
1886,2024-11-19
532,2024-11-19
432,2024-11-19
446,2024-11-19
437,2024-11-19
914,2024-11-19
402,2024-11-19
930,2024-11-19
5008,2024-11-19
4316,2024-11-19
1880,2024-11-19
1656,2024-11-19
1676,2024-11-19
1673,2024-11-19
1658,2024-11-19
1773,2024-11-19
500,2024-11-22
907,2024-11-22
616,2024-11-22
84+83,2024-11-22
623,2024-11-26
616,2024-11-26
409,2024-11-26
611,2024-11-26
426,2024-11-26
548,2024-11-27
542,2024-11-27
