line_number,date_discovered
6,2024-12-17
16,2024-12-17
154,2024-12-17
3,2024-12-17
181,2024-12-17
7,2024-12-18
13,2024-12-18
5,2024-12-18
152,2024-12-18
184,2024-12-18
166,2024-12-18
196,2024-12-18
512,2024-12-18
560,2024-12-18
432,2024-12-18
18,2024-12-18
190,2024-12-18
157,2024-12-18
173,2024-12-18
320,2024-12-18
312,2024-12-18
167,2024-12-18
412,2024-12-18
183,2024-12-18
17,2024-12-18
401,2024-12-18
8,2024-12-18
323,2024-12-18
178,2024-12-18
405,2024-12-18
164,2024-12-19
2,2024-12-19
431,2024-12-21
159,2024-12-21
11,2024-12-21
603,2024-12-21
174,2024-12-21
145,2024-12-21
212,2024-12-31
201,2025-01-01
222,2025-01-01
425,2025-01-08
1,2025-01-08
19,2025-01-08
10,2025-01-08
191,2025-01-08
170,2025-01-08
322,2025-01-08
406,2025-01-08
179,2025-01-08
701,2025-01-08
614,2025-01-08
175,2025-01-08
611,2025-01-08
610,2025-01-08
182,2025-01-08
163,2025-01-08
193,2025-01-08
180,2025-01-08
704,2025-01-08
705,2025-01-08
716,2025-01-08
715,2025-01-08
177,2025-01-08
15,2025-01-08
727,2025-01-08
148,2025-01-12
14,2025-01-12
12,2025-01-12
# 4,2025-01-26
# T9,2025-01-26
160,2025-01-26
835,2025-01-26
811,2025-01-26
433,2025-01-28
# T1,2025-02-01
# 93,2025-02-01
503,2025-02-07
# 124,2025-02-07
501,2025-02-15
149,2025-02-15
729,2025-02-28
702,2025-02-28
227,2025-03-04
211,2025-03-24
198,2025-03-31
169,2025-03-31
185,2025-04-02
901,2025-04-02
905,2025-04-02
527,2025-04-08
194,2025-04-08
158,2025-04-08
153,2025-04-08
121,2025-04-14
813,2025-04-14
804,2025-04-14
836,2025-04-14
511,2025-04-15
9,2025-04-22
