stop_id,date_visited
RRAT72,2024-04-29
MT72,2024-04-29
MT73,2024-04-29
RRAT71,2024-04-29
POGL41,2024-04-30
POGL42,2024-04-30
KORN44,2024-05-03
GORC41,2024-05-03
BUCZ01,2024-05-03
GLIN02,2024-05-03
GORC21,2024-05-03
GORC42,2024-05-03
SWMN71,2024-05-03
WROC71,2024-05-03
OSWI01,2024-05-03
RRAT76,2024-05-05
POLW41,2024-05-07
POLW42,2024-05-07
MAGA42,2024-05-08
RRAT74,2024-05-08
OJAG01,2024-05-12
OJAG02,2024-05-12
BALT71,2024-05-13
BALT42,2024-05-13
MT71,2024-05-13
KORN43,2024-05-13
PILS01,2024-05-15
PILS02,2024-05-15
PLWL41,2024-05-19
PLWL42,2024-05-19
WROC72,2024-05-19
PP71,2024-05-19
PP72,2024-05-19
KORN78,2024-05-19
KORN45,2024-05-19
KORN02,2024-05-19
KORN42,2024-05-19
KORN41,2024-05-19
MT02,2024-05-20
MT44,2024-05-20
MT45,2024-05-20
MT46,2024-05-20
MT01,2024-05-20
SZOO72,2024-05-20
SZOO71,2024-05-20
RKAP01,2024-05-20
RKAP02,2024-05-20
RKAP71,2024-05-20
RKAP72,2024-05-20
RKAP45,2024-05-20
RKAP46,2024-05-20
RKAP74,2024-05-20
RKAP73,2024-05-20
RKAP05,2024-05-20
RKAP06,2024-05-20
RRAT75,2024-05-20
RRAT06,2024-05-20
RRAT30,2024-05-20
RRAT73,2024-05-20
JARO01,2024-05-25
JARO02,2024-05-25
KRNY01,2024-05-25
KRNY02,2024-05-25
RYMA01,2024-05-25
RYMA02,2024-05-25
KRSZ01,2024-05-25
KRSZ02,2024-05-25
KRWI01,2024-05-25
KRWI02,2024-05-25
SIEW01,2024-05-25
SIEW02,2024-05-25
TAKA01,2024-05-25
TAKA02,2024-05-25
PIWN01,2024-05-26
PIWN02,2024-05-26
PIWN03,2024-05-26
PIWN04,2024-05-26
INFL01,2024-05-26
INFL02,2024-05-26
INFL03,2024-05-26
OSWI02,2024-05-26
OJAG03,2024-05-29
BRKA01,2024-05-29
BRKA02,2024-05-29
LACI41,2024-05-29
LACI42,2024-05-29
OSTY42,2024-05-29
OSTY41,2024-05-29
OSTY01,2024-05-29
OSTY02,2024-05-29
ORGN01,2024-05-29
ORGN02,2024-05-29
OSLE41,2024-05-29
OSLE42,2024-05-29
OSLE02,2024-05-29
OSLE01,2024-05-29
OCZ71,2024-05-29
OCZ72,2024-05-29
BOBR01,2024-05-29
LI01,2024-05-29
LI02,2024-05-29
L II02,2024-05-29
WIAT03,2024-05-29
WIAT02,2024-05-29
WIAT04,2024-05-29
OSPO01,2024-05-29
SZII02,2024-05-29
SZII01,2024-05-29
OAK01,2024-05-29
OAK02,2024-05-29
OBOH02,2024-05-29
OBOH01,2024-05-29
ORZE02,2024-05-29
ORZE01,2024-05-29
ORZE41,2024-05-29
ORZE42,2024-05-29
OPIA02,2024-05-29
OPIA42,2024-05-29
OPIA41,2024-05-29
OPIA01,2024-05-29
WIOS71,2024-05-29
WIOS72,2024-05-29
PLRA41,2024-05-30
PLRA42,2024-05-30
GWAR71,2024-05-30
GWAR42,2024-05-30
GRUD72,2024-05-30
MRCI71,2024-05-30
MRCI72,2024-05-30
PAWI71,2024-05-30
RZEG42,2024-05-30
RZEG41,2024-05-30
RZEG43,2024-05-30
RZEG44,2024-05-30
ZIII42,2024-05-30
ZIII41,2024-05-30
POKA42,2024-06-07
POKA41,2024-06-07
Z II42,2024-06-07
Z II41,2024-06-07
Z I41,2024-06-07
Z I42,2024-06-07
PLBE71,2024-06-10
PLBE72,2024-06-10
PLBE02,2024-06-10
MORO71,2024-06-10
MORO72,2024-06-10
MORO01,2024-06-10
PK02,2024-06-10
PK01,2024-06-10
CZ I02,2024-06-10
CZ I01,2024-06-10
CZ I92,2024-06-10
CZ I91,2024-06-10
SZWE41,2024-06-10
SZWE42,2024-06-10
SZWE01,2024-06-10
SZCH02,2024-06-10
SZCH01,2024-06-10
RUSA02,2024-06-10
RUSA01,2024-06-10
PK42,2024-06-10
PK41,2024-06-10
PIAR42,2024-06-10
PIAR41,2024-06-10
PALM01,2024-06-10
PALM02,2024-06-10
DWZA71,2024-06-10
DWZA72,2024-06-10
DWZA42,2024-06-10
DWZA41,2024-06-10
DWZA02,2024-06-10
POGL02,2024-06-10
POGL01,2024-06-10
POGL05,2024-06-10
POGL06,2024-06-10
POGL73,2024-06-10
POGL74,2024-06-10
MODW71,2024-06-16
MODW72,2024-06-16
BYST42,2024-06-22
BYST02,2024-06-22
BYST41,2024-06-22
BYST01,2024-06-22
RSTA42,2024-06-22
RSTA02,2024-06-22
RSTA41,2024-06-22
RSTA01,2024-06-22
RSTA03,2024-06-22
RSTA43,2024-06-22
RSTA44,2024-06-22
RSTA45,2024-06-22
RSTA46,2024-06-22
RSTA48,2024-06-22
RSTA47,2024-06-22
CMNA02,2024-06-23
CMNA03,2024-06-23
# CMNA94,2024-06-23
CMNA01,2024-06-23
CMNA41,2024-06-23
CMNA42,2024-06-23
# JUNI02,2024-06-23
JUNI43,2024-06-23
BUDZ01,2024-06-23
BUDZ02,2024-06-23
BUDZ42,2024-06-23
# BUDZ93,2024-06-23
BUDZ41,2024-06-23
AWF01,2024-06-23
AWF03,2024-06-23
OBII01,2024-06-26
OBII02,2024-06-26
OB I01,2024-06-26
OB I02,2024-06-26
DZIA02,2024-06-26
DZIA01,2024-06-26
LUBU02,2024-06-26
JAWO02,2024-06-28
JAWO01,2024-06-28
SCIE04,2024-06-28
SCIE01,2024-06-28
SCIE03,2024-06-28
SCIE02,2024-06-28
MALE01,2024-07-03
MALE02,2024-07-03
PLL02,2024-07-03
PLL01,2024-07-03
PLL04,2024-07-03
PLL03,2024-07-03
ZLOT01,2024-07-03
ZLOT02,2024-07-03
KOPC02,2024-07-03
KOPC01,2024-07-03
LAWI02,2024-07-03
OSLE03,2024-07-07
OSLE04,2024-07-07
PIAR01,2024-07-07
PIAR02,2024-07-07
PK03,2024-07-07
PK94,2024-07-07
KUWI02,2024-07-07
KUWI01,2024-07-07
GROL02,2024-07-13
SWMI41,2024-07-19
SWMI42,2024-07-19
SARB01,2024-07-20
SARB02,2024-07-20
SERA71,2024-07-22
SERA72,2024-07-22
# DWZA93,2024-07-22
# DWZA94,2024-07-22
# MODW92,2024-07-22
# MODW93,2024-07-22
# RKAP92,2024-07-22
# RKAP91,2024-07-22
OGDY12,2024-07-22
OGDY06,2024-07-22
OGDY42,2024-07-22
OGDY04,2024-07-22
OGDY01,2024-07-22
OGDY02,2024-07-22
OGDY41,2024-07-22
STGR01,2024-07-25
STGR02,2024-07-25
PUSA02,2024-07-25
PUSA21,2024-07-25
TOLT01,2024-07-25
TOLT02,2024-07-25
POLW02,2024-07-30
# POLW01,2024-07-30
AWF73,2024-07-30
ARPO41,2024-08-16
LIBE02,2024-08-16
FRRY42,2024-08-16
PLWI42,2024-08-29
PLWI41,2024-08-29
# PLWI43,2024-08-29
SOLN01,2024-08-29
SOLN02,2024-08-29
KLCH02,2024-08-30
NKRZ02,2024-09-04
NKRZ01,2024-09-04
SWKI01,2024-09-04
MAGA03,2024-09-12
MAGA02,2024-09-12
MAGA41,2024-09-12
ROSR41,2024-09-12
SWCZ72,2024-09-27
SWCZ71,2024-09-27
KLIN01,2024-09-29
KLIN02,2024-09-29
KLIN41,2024-09-29
KLIN42,2024-09-29
NADW41,2024-09-29
NADW42,2024-09-29
NADW01,2024-09-29
NADW02,2024-09-29
SOLA41,2024-09-29
SOLA42,2024-09-29
AWF41,2024-09-29
GABA01,2024-10-20
GABA02,2024-10-20
GABA03,2024-10-20
GABA04,2024-10-20
PZEL41,2024-10-20
PZEL42,2024-10-20
AREN41,2024-10-27
AREN42,2024-10-27
GROC41,2024-10-28
GROC42,2024-10-28
GROC02,2024-10-28
GROC04,2024-10-28
GROC01,2024-10-28
DRZE01,2024-10-28
DRZE41,2024-10-28
DRZE42,2024-10-28
DRZE02,2024-10-28
ZAWA42,2024-11-19
ZAWA02,2024-11-19
ROSR01,2024-11-19
ROSR45,2024-11-19
ROSR46,2024-11-19
ROSR03,2024-11-19
ROSR47,2024-11-19
ROSR02,2024-11-19
ROSR42,2024-11-19
ROSR04,2024-11-19
ROSR30,2024-11-19
ROSR43,2024-11-19
ROSR44,2024-11-19
BAKA02,2024-11-19
BAKA01,2024-11-19
BAKA42,2024-11-19
BAKA41,2024-11-19
BAKA03,2024-11-19
# RRAT04,2024-12-01
# KORN93,2024-12-01
OPIE02,2024-12-05
OPIE01,2024-12-05
SOB30,2024-12-05
SOB26,2024-12-05
SOB21,2024-12-05
SZLI02,2024-12-05
SZLI01,2024-12-05
SOB01,2024-12-05
SOB42,2024-12-05
SOB41,2024-12-05
SZYM41,2024-12-05
SZYM42,2024-12-05
SZYM01,2024-12-05
SZYM02,2024-12-05
SZYM08,2024-12-05
KURP42,2024-12-05
KURP02,2024-12-05
KURP41,2024-12-05
KURP01,2024-12-05
KURP03,2024-12-05
KURP06,2024-12-05
LECH42,2024-12-05
LECH41,2024-12-05
ALSO42,2024-12-05
ALSO01,2024-12-05
ALSO02,2024-12-05
ALSO04,2024-12-05
ALSO41,2024-12-05
SLKA42,2024-12-05
SLKA03,2024-12-05
SLKA41,2024-12-05
SLKA04,2024-12-05
SLKA02,2024-12-05
SLKA01,2024-12-05
SLKA06,2024-12-05
UE71,2024-12-07
UE42,2024-12-07
UE01,2024-12-07
WILC01,2024-12-07
WILC02,2024-12-07
WILC03,2024-12-07
WILC42,2024-12-07
WILC41,2024-12-07
BLAZ42,2024-12-07
BLAZ41,2024-12-07
RJEZ71,2024-12-19
RJEZ72,2024-12-19
KOSI71,2024-12-31
KOSI72,2024-12-31
RYWI71,2024-12-31
RYWI72,2024-12-31
ROZA41,2024-12-31
ROZA42,2024-12-31
PAMI72,2025-01-01
PAMI71,2025-01-01
SZWA41,2025-01-08
SZWA42,2025-01-08
FRWO04,2025-01-08
FRWO41,2025-01-08
FRWO03,2025-01-08
FRWO02,2025-01-08
FRWO42,2025-01-08
FRWO01,2025-01-08
ZNIW71,2025-01-08
ZNIW42,2025-01-08
ARPO42,2025-01-08
ARPO01,2025-01-08
POLA02,2025-01-08
POLA41,2025-01-08
POLA03,2025-01-08
POLA01,2025-01-08
POLA42,2025-01-08
GLHE43,2025-01-08
GLHE44,2025-01-08
GLHE02,2025-01-08
GLHE01,2025-01-08
GLHE71,2025-01-08
GLHE72,2025-01-08
GORE01,2025-01-08
GORE02,2025-01-08
KORF01,2025-01-08
KORF02,2025-01-08
SWIE01,2025-01-08
SWIE02,2025-01-08
SWIE03,2025-01-08
LUPSZ01,2025-01-08
LUPSZ02,2025-01-08
SJNZ02,2025-01-08
SJNZ01,2025-01-08
OPOL02,2025-01-08
OPOL01,2025-01-08
GORC30,2025-01-08
JUST01,2025-01-08
JUST02,2025-01-08
JUNI30,2025-01-08
JUNI41,2025-01-08
JUNI42,2025-01-08
PAWI02,2025-01-20
PAWI01,2025-01-20
PAWI72,2025-01-20
WOPO03,2025-01-26
GOLE01,2025-01-26
GOLE02,2025-01-26
ZIII01,2025-02-01
ZIII02,2025-02-01
Z II02,2025-02-01
Z II01,2025-02-01
Z I01,2025-02-01
Z I02,2025-02-01
KATO01,2025-02-02
KATO02,2025-02-02
WOLK02,2025-02-02
WOLK01,2025-02-02
KOWO01,2025-02-02
KOWO02,2025-02-02
CHAR02,2025-02-02
CHAR04,2025-02-02
CHAR01,2025-02-02
BLIZ01,2025-02-02
BLIZ02,2025-02-02
KURL01,2025-02-02
KURL02,2025-02-02
OSZO02,2025-02-02
OSZO01,2025-02-02
DYMK03,2025-02-02
DYMK02,2025-02-02
DYMK01,2025-02-02
ZELA02,2025-02-02
ZELA01,2025-02-02
SSZP03,2025-02-02
SSZP04,2025-02-02
# SSZP01,2025-02-02
SSZP02,2025-02-02
RJEZ74,2025-02-02
RJEZ73,2025-02-02
KRAS71,2025-02-07
KRAS42,2025-02-07
KRAS01,2025-02-07
KRAS02,2025-02-07
KOSC01,2025-02-07
KOSC02,2025-02-07
LITA01,2025-02-07
LITA02,2025-02-07
# DWGO92,2025-02-07
# GRUC91,2025-02-07
# POSZ91,2025-02-07
ZOWY02,2025-02-07
ZOWY01,2025-02-07
# WIEN92,2025-02-07
HEZJ02,2025-02-07
HEZJ01,2025-02-07
# SAFO01,2025-02-07
KART02,2025-02-07
ROSO42,2025-02-17
ROSO41,2025-02-17
ROSO02,2025-02-17
KOCEN02,2025-02-28
KOCEN01,2025-02-28
KOZAK01,2025-02-28
KOZAK02,2025-02-28
KOUGM02,2025-02-28
KOUGM01,2025-02-28
KOLAK01,2025-02-28
KOLAK02,2025-02-28
WEGO01,2025-03-07
STMI05,2025-03-07
