stop_id,date_visited
RRAT72,2024-04-29
MT72,2024-04-29
MT73,2024-04-29
RRAT71,2024-04-29
# POGL41,2024-04-30
# POGL42,2024-04-30
KORN44,2024-05-03
GORC41,2024-05-03
BUCZ01,2024-05-03
FABI02,2024-05-03
GORC21,2024-05-03
GORC42,2024-05-03
RATA72,2024-05-03
WROC71,2024-05-03
OSWI01,2024-05-03
RRAT76,2024-05-05
POLW41,2024-05-07
POLW42,2024-05-07
MAGA42,2024-05-08
RRAT74,2024-05-08
OJAG01,2024-05-12
OJAG02,2024-05-12
BALT71,2024-05-13
BALT42,2024-05-13
MT71,2024-05-13
KORN43,2024-05-13
PILS01,2024-05-15
PILS02,2024-05-15
PLWL41,2024-05-19
PLWL42,2024-05-19
WROC72,2024-05-19
PP71,2024-05-19
PP72,2024-05-19
KORN78,2024-05-19
KORN45,2024-05-19
KORN02,2024-05-19
KORN42,2024-05-19
KORN41,2024-05-19
MT02,2024-05-20
MT44,2024-05-20
MT45,2024-05-20
MT46,2024-05-20
MT01,2024-05-20
SZOO72,2024-05-20
SZOO71,2024-05-20
RKAP01,2024-05-20
RKAP02,2024-05-20
RKAP71,2024-05-20
RKAP72,2024-05-20
RKAP45,2024-05-20
RKAP46,2024-05-20
RKAP74,2024-05-20
RKAP73,2024-05-20
RKAP05,2024-05-20
RKAP06,2024-05-20
RRAT75,2024-05-20
RRAT06,2024-05-20
RRAT30,2024-05-20
RRAT73,2024-05-20
JARO01,2024-05-25
JARO02,2024-05-25
KRNY01,2024-05-25
KRNY02,2024-05-25
RYMA01,2024-05-25
RYMA02,2024-05-25
KRSZ01,2024-05-25
KRSZ02,2024-05-25
KRWI01,2024-05-25
KRWI02,2024-05-25
SIEW01,2024-05-25
SIEW02,2024-05-25
TAKA01,2024-05-25
TAKA02,2024-05-25
PIWN01,2024-05-26
PIWN02,2024-05-26
PIWN03,2024-05-26
PIWN04,2024-05-26
INFL01,2024-05-26
INFL02,2024-05-26
INFL03,2024-05-26
OSWI02,2024-05-26
OJAG03,2024-05-29
BRKA01,2024-05-29
BRKA02,2024-05-29
LACI41,2024-05-29
LACI42,2024-05-29
OSTY42,2024-05-29
OSTY41,2024-05-29
OSTY01,2024-05-29
OSTY02,2024-05-29
ORGN01,2024-05-29
ORGN02,2024-05-29
OSLE41,2024-05-29
OSLE42,2024-05-29
OSLE02,2024-05-29
OSLE01,2024-05-29
OCZ71,2024-05-29
OCZ72,2024-05-29
BOBR01,2024-05-29
LI01,2024-05-29
LI02,2024-05-29
L II02,2024-05-29
WIAT03,2024-05-29
WIAT02,2024-05-29
WIAT04,2024-05-29
OSPO01,2024-05-29
SZII02,2024-05-29
SZII01,2024-05-29
OAK01,2024-05-29
OAK02,2024-05-29
OBOH02,2024-05-29
OBOH01,2024-05-29
ORZE02,2024-05-29
ORZE01,2024-05-29
ORZE41,2024-05-29
ORZE42,2024-05-29
OPIA92,2024-05-29
OPIA42,2024-05-29
OPIA41,2024-05-29
OPIA01,2024-05-29
WIOS71,2024-05-29
WIOS72,2024-05-29
PLRA41,2024-05-30
PLRA42,2024-05-30
GWAR71,2024-05-30
GWAR42,2024-05-30
GRUD71,2024-05-30
MRCI71,2024-05-30
MRCI72,2024-05-30
PAWI71,2024-05-30
RZEG42,2024-05-30
RZEG41,2024-05-30
RZEG43,2024-05-30
RZEG44,2024-05-30
ZIII42,2024-05-30
ZIII41,2024-05-30
POKA42,2024-06-07
POKA41,2024-06-07
Z II42,2024-06-07
Z II41,2024-06-07
Z I41,2024-06-07
Z I42,2024-06-07
PLBE71,2024-06-10
PLBE72,2024-06-10
PLBE02,2024-06-10
MORO71,2024-06-10
MORO72,2024-06-10
MORO01,2024-06-10
PK02,2024-06-10
PK01,2024-06-10
CZ I02,2024-06-10
CZ I01,2024-06-10
CZ I92,2024-06-10
CZ I91,2024-06-10
SZWE41,2024-06-10
SZWE42,2024-06-10
SZWE01,2024-06-10
SZCH02,2024-06-10
SZCH01,2024-06-10
RUSA02,2024-06-10
RUSA01,2024-06-10
PK42,2024-06-10
PK41,2024-06-10
PIAR42,2024-06-10
PIAR41,2024-06-10
PALM01,2024-06-10
PALM02,2024-06-10
# DWZA71,2024-06-10
# DWZA72,2024-06-10
DWZA42,2024-06-10
DWZA41,2024-06-10
DWZA02,2024-06-10
POGL02,2024-06-10
POGL01,2024-06-10
POGL05,2024-06-10
POGL06,2024-06-10
POGL73,2024-06-10
POGL74,2024-06-10
# MODW71,2024-06-16
# MODW72,2024-06-16
BYST42,2024-06-22
BYST02,2024-06-22
# BYST41,2024-06-22
BYST01,2024-06-22
RSTA42,2024-06-22
RSTA02,2024-06-22
RSTA41,2024-06-22
RSTA01,2024-06-22
RSTA03,2024-06-22
RSTA43,2024-06-22
RSTA44,2024-06-22
# RSTA45,2024-06-22
RSTA46,2024-06-22
RSTA48,2024-06-22
RSTA47,2024-06-22
CMNA02,2024-06-23
CMNA03,2024-06-23
CMNA94,2024-06-23
CMNA01,2024-06-23
CMNA41,2024-06-23
CMNA42,2024-06-23
JUNI02,2024-06-23
JUNI43,2024-06-23
BUDZ01,2024-06-23
BUDZ02,2024-06-23
BUDZ42,2024-06-23
BUDZ93,2024-06-23
BUDZ41,2024-06-23
UE71,2024-06-23
AWF01,2024-06-23
AWF03,2024-06-23
OBII01,2024-06-26
OBII02,2024-06-26
OB I01,2024-06-26
OB I02,2024-06-26
DZIA02,2024-06-26
DZIA01,2024-06-26
LUBU02,2024-06-26
JAWO02,2024-06-28
JAWO01,2024-06-28
SCIE04,2024-06-28
SCIE01,2024-06-28
SCIE03,2024-06-28
SCIE02,2024-06-28
MALE01,2024-07-03
MALE02,2024-07-03
PLL02,2024-07-03
PLL01,2024-07-03
PLL04,2024-07-03
PLL03,2024-07-03
ZLOT01,2024-07-03
ZLOT02,2024-07-03
KOPC02,2024-07-03
KOPC01,2024-07-03
LAWI02,2024-07-03
