stop_id,date_visited
STGR01,2024-04-29
MATE01,2024-04-30
MATE02,2024-04-30
# KRAS02,2024-04-30
NADW42,2024-05-01
GWAR71,2024-05-01
POKA41,2024-05-01
POKA42,2024-05-01
KORN44,2024-05-01
KORN43,2024-05-01
GWAR42,2024-05-01
# RJEZ71,2024-05-01
KOSC02,2024-05-01
RRAT76,2024-05-02
PP72,2024-05-04
NADW41,2024-05-04
LUBI02,2024-05-04
OJAG01,2024-05-05
POLN02,2024-05-07
RKAP73,2024-05-07
WROC71,2024-05-07
FRRY42,2024-05-07
GRUD71,2024-05-07
RJEZ73,2024-05-07
MODW71,2024-05-08
DWZA72,2024-05-08
PLWI41,2024-05-08
RRAT74,2024-05-08
RRAT72,2024-05-09
MORO72,2024-05-09
MORO71,2024-05-09
POGL41,2024-05-10
WOJS41,2024-05-10
DWZA42,2024-05-11
DWZA02,2024-05-11
WIOS71,2024-05-11
KORN42,2024-05-12
KORN41,2024-05-12
STGR02,2024-05-13
MATE42,2024-05-13
BALT42,2024-05-13
MATE71,2024-05-13
RKAP05,2024-05-14
POGL42,2024-05-14
# RJEZ74,2024-05-15
MODW72,2024-05-15
RKAP72,2024-05-17
RKAP71,2024-05-17
PLRA41,2024-05-17
PLRA42,2024-05-17
MT73,2024-05-17
# RJEZ72,2024-05-17
KOSC01,2024-05-17
HEZJ01,2024-05-17
SMNA01,2024-05-19
LUDO01,2024-05-19
SZKA01,2024-05-19
TRUS01,2024-05-19
DWZA94,2024-05-19
DWZA93,2024-05-19
HEZJ02,2024-05-19
RRAT75,2024-05-20
RRAT73,2024-05-21
PALM01,2024-05-21
KONZ02,2024-05-21
POLN01,2024-05-21
SZYL01,2024-05-21
KRAS92,2024-05-21
KRAS01,2024-05-23
SZYL02,2024-05-23
PONA72,2024-05-23
PONA71,2024-05-23
WIKA02,2024-05-23
WIKA41,2024-05-23
NOGO02,2024-05-23
LIBE02,2024-05-23
URWO01,2024-05-23
NOGO01,2024-05-23
KLIN01,2024-05-23
KLIN41,2024-05-23
KLIN42,2024-05-23
KLIN02,2024-05-23
NADW02,2024-05-23
UP01,2024-05-23
UP41,2024-05-23
UP42,2024-05-23
UP02,2024-05-23
WOPO04,2024-05-23
WOPO01,2024-05-23
WOPO03,2024-05-23
WOPO05,2024-05-23
WOPO06,2024-05-23
BALT71,2024-05-24
WIKA42,2024-05-24
TOLT02,2024-05-25
PAWI72,2024-05-25
WROC72,2024-05-25
WIEL01,2024-05-25
WILC01,2024-05-25
WILC03,2024-05-26
TULO02,2024-05-26
ALSO02,2024-05-26
ALSO42,2024-05-26
DWZA71,2024-05-27
# MODW92,2024-05-27
RRAT71,2024-05-27
RKAP02,2024-05-28
RKAP06,2024-05-28
ZAME42,2024-05-28
RATA72,2024-05-28
